Date,Active Energy,Flights Climbed,Step Count,Walking + Running Distance
2020-06-08,,,803.0,0.51917
2020-06-09,,,376.0,0.25566
2020-06-10,,,9984.0,6.8347299999999995
2020-06-11,,1.0,3594.0,2.323159
2020-06-12,,6.0,3108.0,2.02211
2020-06-13,,7.0,3332.0,2.15482
2020-06-14,,5.0,5726.0,3.63207
2020-06-15,,10.0,5002.0,3.26955
2020-06-16,,,1547.0,1.00537
2020-06-17,,,3657.0,2.30491
2020-06-18,,15.0,3745.0,2.36874
2020-06-19,,9.0,13220.0,8.47946
2020-06-20,,15.0,7313.0,4.73304
2020-06-21,,9.0,4049.0,2.7351199999999998
2020-06-22,,6.0,10133.0,6.50227
2020-06-23,,1.0,1572.0,1.03949
2020-06-24,,4.0,4298.0,2.69568
2020-06-25,,,1450.0,0.93517
2020-06-26,,4.0,6002.0,3.86345
2020-06-27,,13.0,15260.0,10.389206
2020-06-28,,14.0,3300.0,2.12453
2020-06-29,,15.0,8648.0,5.7861970000000005
2020-06-30,,11.0,15560.0,10.191453
2020-07-01,,10.0,7215.0,4.54467
2020-07-02,,6.0,3873.0,2.46533
2020-07-03,,1.0,3538.0,2.14269
2020-07-04,,,2500.0,1.66666
2020-07-05,,,2491.0,1.60581
2020-07-06,,1.0,2466.0,1.5423
2020-07-07,,,3256.0,2.07647
2020-07-08,,,2997.0,1.96746
2020-07-09,,,1531.0,0.99015
2020-07-10,,,3218.0,2.08768
2020-07-11,,16.0,8624.0,5.51797
2020-07-12,,14.0,5257.0,3.491362
2020-07-13,,13.0,3927.0,2.47987
2020-07-14,,8.0,10100.0,6.990343
2020-07-15,,10.0,12929.0,8.50172
2020-07-16,,11.0,11439.0,7.5058715000000005
2020-07-17,,15.0,5196.0,3.433756
2020-07-18,,16.0,4853.0,3.097726
2020-07-19,,13.0,7348.0,4.8967382
2020-07-20,,12.0,3518.0,2.244923
2020-07-21,,8.0,8062.0,5.162624
2020-07-22,,17.0,5791.0,3.76892
2020-07-23,,10.0,4584.0,3.04867
2020-07-24,,10.0,6359.0,4.179452
2020-07-25,,9.0,12119.0,7.910813
2020-07-26,,12.0,5337.0,3.54045
2020-07-27,,10.0,4483.0,2.85092
2020-07-28,,10.0,1765.0,1.16289
2020-07-29,,6.0,3736.0,2.32921
2020-07-30,,12.0,2783.0,1.78186
2020-07-31,,7.0,2017.0,1.30603
2020-08-01,,7.0,5275.0,3.3508999999999998
2020-08-02,,11.0,4487.0,2.87118
2020-08-03,,18.0,5894.0,3.67333
2020-08-04,,,6374.0,4.07756
2020-08-05,,1.0,6748.0,4.34597
2020-08-06,,,1172.0,0.74665
2020-08-07,,6.0,5460.0,3.75256
2020-08-08,,15.0,4183.0,2.71667
2020-08-09,,9.0,3441.0,2.2340400000000002
2020-08-10,,7.0,5371.0,3.30356
2020-08-11,,1.0,2173.0,1.35453
2020-08-12,,,1853.0,1.16364
2020-08-13,,9.0,6602.0,4.26544
2020-08-14,,5.0,2429.0,1.57907
2020-08-15,,8.0,928.0,0.62076
2020-08-16,,10.0,4131.0,2.762983
2020-08-17,,15.0,3957.0,2.61623
2020-08-18,,,1309.0,0.86565
2020-08-19,,,1305.0,0.86322
2020-08-20,,,2679.0,1.74025
2020-08-21,,,1255.0,0.81067
2020-08-22,,,1615.0,1.02377
2020-08-23,,,2642.0,1.60623
2020-08-24,,,2076.0,1.39395
2020-08-25,,,1161.0,0.75167
2020-08-26,,,2008.0,1.28985
2020-08-27,,,711.0,0.4819
2020-08-28,,2.0,2968.0,1.97942
2020-08-29,,5.0,4106.0,2.740621
2020-08-30,,4.0,3361.0,2.179523
2020-08-31,,,1639.0,1.04472
2020-09-01,,,1196.0,0.7871900000000001
2020-09-02,,,1724.0,1.10781
2020-09-03,,1.0,2401.0,1.54702
2020-09-04,,2.0,3508.0,2.27037
2020-09-05,,7.0,7239.0,4.7002
2020-09-06,,9.0,3633.0,2.35895
2020-09-07,,,1492.0,0.94579
2020-09-08,,,2751.0,1.76301
2020-09-09,,,1825.0,1.21799
2020-09-10,,,1791.0,1.15199
2020-09-11,,4.0,4614.0,3.01927
2020-09-12,,11.0,3628.0,2.46182
2020-09-13,,8.0,4755.0,3.18807
2020-09-14,,,1726.0,1.1676900000000001
2020-09-15,,3.0,2622.0,1.71406
2020-09-16,,,3107.0,2.0417
2020-09-17,,,1994.0,1.2888
2020-09-18,,,4107.0,2.87049
2020-09-19,,7.0,2845.0,1.89459
2020-09-20,,9.0,4377.0,2.84511
2020-09-21,,,1049.0,0.69133
2020-09-22,,1.0,1641.0,1.02603
2020-09-23,,,3938.0,2.59339
2020-09-24,,,1560.0,1.02904
2020-09-25,,,247.0,0.16438
2020-09-26,,3.0,2206.0,1.42761
2020-09-27,,,1178.0,0.77713
2020-09-28,,,714.0,0.47298
2020-09-29,,,788.0,0.51637
2020-09-30,,1.0,3025.0,1.97813
2020-10-01,,,1974.0,1.32063
2020-10-02,,,2287.0,1.51304
2020-10-03,,3.0,2993.0,2.01321
2020-10-04,,1.0,1583.0,1.02783
2020-10-05,,,1102.0,0.7007099999999999
2020-10-06,,,2656.0,1.83172
2020-10-07,,2.0,3143.0,2.10465
2020-10-08,,,1350.0,0.90427
2020-10-09,,,4306.0,2.99134
2020-10-10,,1.0,2442.0,1.55707
2020-10-11,,,2257.0,1.48653
2020-10-12,,,891.0,0.60089
2020-10-13,,2.0,2495.0,1.56339
2020-10-14,,,2241.0,1.39268
2020-10-15,,3.0,1467.0,0.97271
2020-10-16,,1.0,2577.0,1.6615
2020-10-17,,,3634.0,2.25291
2020-10-18,,,8848.0,5.55187
2020-10-19,,,1233.0,0.82926
2020-10-20,,,1801.0,1.19714
2020-10-21,,,2595.0,1.61336
2020-10-22,,1.0,5367.0,3.36006
2020-10-23,,,1423.0,0.91592
2020-10-24,,,2574.0,1.68253
2020-10-25,,,1570.0,1.01825
2020-10-26,,,1526.0,1.01726
2020-10-27,,,1372.0,0.88275
2020-10-28,,,3226.0,2.06283
2020-10-29,,,715.0,0.47397
2020-10-30,,6.0,3123.0,1.9541
2020-10-31,,,3115.0,2.05503
2020-11-01,,,1639.0,1.03454
2020-11-02,,,931.0,0.59898
2020-11-03,,,1019.0,0.69592
2020-11-04,,,1945.0,1.29432
2020-11-05,,,1998.0,1.29272
2020-11-06,,3.0,1800.0,1.2125
2020-11-07,,,5145.0,3.29853
2020-11-08,,1.0,1778.0,1.18971
2020-11-09,,2.0,3869.0,2.54033
2020-11-10,,3.0,3054.0,1.93533
2020-11-11,,4.0,6127.0,3.8989
2020-11-12,,3.0,2441.0,1.56207
2020-11-13,,5.0,4335.0,2.92107
2020-11-14,,2.0,3196.0,2.0593500000000002
2020-11-15,,,1050.0,0.69408
2020-11-16,,,1806.0,1.18852
2020-11-17,,2.0,1495.0,1.00959
2020-11-18,,,852.0,0.55591
2020-11-19,,,1614.0,1.06556
2020-11-20,,2.0,5672.0,3.8309
2020-11-21,,,1308.0,0.88191
2020-11-22,,,1601.0,1.04448
2020-11-23,,,1082.0,0.72232
2020-11-24,,3.0,2363.0,1.57489
2020-11-25,,1.0,1009.0,0.63317
2020-11-26,,,1267.0,0.8638399999999999
2020-11-27,,,1029.0,0.67803
2020-11-28,,,2916.0,1.91953
2020-11-29,,,1346.0,0.9687600000000001
2020-11-30,,,1365.0,0.89049
2020-12-01,,,1653.0,1.06467
2020-12-02,,,676.0,0.45783999999999997
2020-12-03,,,1497.0,1.01384
2020-12-04,,,1816.0,1.2273399999999999
2020-12-05,,,1355.0,0.8952
2020-12-06,,,1110.0,0.73683
2020-12-07,,,1608.0,1.07356
2020-12-08,,,1522.0,1.03143
2020-12-09,,,609.0,0.40873000000000004
2020-12-10,,,1404.0,0.8601
2020-12-11,,,856.0,0.55463
2020-12-12,,,831.0,0.53527
2020-12-13,,,1399.0,0.9376500000000001
2020-12-14,,,1011.0,0.6375299999999999
2020-12-15,,1.0,2393.0,1.6633
2020-12-16,,,167.0,0.11384
2020-12-17,,,721.0,0.49557999999999996
2020-12-18,,,282.0,0.171
2020-12-19,,,84.0,0.05535
2020-12-20,,,438.0,0.29632
2020-12-21,,,291.0,0.18070999999999998
2020-12-22,,,196.0,0.11783
2020-12-23,,,336.0,0.2191
2020-12-24,,,510.0,0.32961
2020-12-25,,,1388.0,0.9127299999999999
2020-12-26,,,926.0,0.58763
2020-12-27,,,1064.0,0.69596
2020-12-28,,,1268.0,0.84169
2020-12-29,,,1347.0,0.8542
2020-12-30,,,1147.0,0.71513
2020-12-31,,,2080.0,1.31963
2021-01-01,,,1278.0,0.8489
2021-01-02,,,830.0,0.55824
2021-01-03,,,720.0,0.4537
2021-01-04,,,1729.0,1.12423
2021-01-05,,,1975.0,1.3064
2021-01-06,,3.0,2570.0,1.66462
2021-01-07,,,1493.0,0.9456100000000001
2021-01-08,,,1265.0,0.79398
2021-01-09,,,1371.0,0.92445
2021-01-10,,,932.0,0.61508
2021-01-11,,,1530.0,1.02216
2021-01-12,,2.0,1983.0,1.2999100000000001
2021-01-13,,,1508.0,0.98746
2021-01-14,,,6203.0,4.10053
2021-01-15,,,4128.0,2.92309
2021-01-16,,,1797.0,1.17443
2021-01-17,,,2231.0,1.41049
2021-01-18,,,1561.0,0.99267
2021-01-19,,,1953.0,1.24796
2021-01-20,,3.0,2954.0,1.909453
2021-01-21,,,1059.0,0.68251
2021-01-22,,1.0,2891.0,1.98044
2021-01-23,,3.0,630.0,0.39914
2021-01-24,,,1022.0,0.65395
2021-01-25,,,1276.0,0.83238
