Date,Active Energy,Flights Climbed,Step Count,Walking + Running Distance,School Period
2022-09-25,,4.0,6416.0,4.1357,Preparatory School
2022-09-26,,14.0,15157.0,9.147258,Preparatory School
2022-09-27,,21.0,15718.0,10.169218,Preparatory School
2022-09-28,,19.0,15442.0,10.12513,Preparatory School
2022-09-29,,24.0,16142.0,10.53933,Preparatory School
2022-09-30,,12.0,15114.0,10.569808,Preparatory School
2022-10-01,,20.0,11766.0,8.009109,Preparatory School
2022-10-02,,28.0,21743.0,13.690078,Preparatory School
2022-10-03,,24.0,14948.0,10.147572,Preparatory School
2022-10-04,,18.0,12573.0,8.153053,Preparatory School
2022-10-05,,14.0,8914.0,5.7766779,Preparatory School
2022-10-06,,10.0,12154.0,8.021568,Preparatory School
2022-10-07,,13.0,11276.0,7.613619,Preparatory School
2022-10-08,,10.0,8070.0,5.285707,Preparatory School
2022-10-09,,8.0,5912.0,3.892575,Preparatory School
2022-10-10,,19.0,8405.0,5.541133,Preparatory School
2022-10-11,,10.0,7496.0,4.831148,Preparatory School
2022-10-12,,15.0,8640.0,5.76962,Preparatory School
2022-10-13,,15.0,11966.0,7.81124,Preparatory School
2022-10-14,,8.0,7765.0,5.214687,Preparatory School
2022-10-15,,,5774.0,3.806436,Preparatory School
2022-10-16,,16.0,9540.0,6.210299,Preparatory School
2022-10-17,174.534,14.0,9315.0,6.26833,Preparatory School
2022-10-18,388.20099999999996,21.0,11908.0,8.543468,Preparatory School
2022-10-19,366.841,13.0,11725.0,7.907403,Preparatory School
2022-10-20,417.553,19.0,14742.0,9.888846000000001,Preparatory School
2022-10-21,338.145,14.0,12504.0,8.440071,Preparatory School
2022-10-22,220.012,9.0,7617.0,5.22961867,Preparatory School
2022-10-23,157.0,7.0,6380.0,4.404752,Preparatory School
2022-10-24,291.974,11.0,10278.0,6.989179,Preparatory School
2022-10-25,362.93600000000004,17.0,12978.0,8.27361839,Preparatory School
2022-10-26,476.156,22.0,17090.0,11.147712799999999,Preparatory School
2022-10-27,277.795,6.0,9891.0,6.4859268,Preparatory School
2022-10-28,190.01500000000001,14.0,7361.0,5.086289,Preparatory School
2022-10-29,146.88400000000001,10.0,6024.0,3.99974,Preparatory School
2022-10-30,177.482,10.0,7376.0,4.991416,Preparatory School
2022-10-31,100.19,6.0,3724.0,2.600708,Preparatory School
2022-11-01,391.814,20.0,12656.0,8.476359,Preparatory School
2022-11-02,332.407,21.0,10797.0,6.999807,Preparatory School
2022-11-03,280.2,10.0,10414.0,6.73547,Preparatory School
2022-11-04,233.841,12.0,8127.0,5.200361,Preparatory School
2022-11-05,240.406,7.0,9470.0,6.210825,Preparatory School
2022-11-06,215.724,6.0,7951.0,5.066906,Preparatory School
2022-11-07,250.601,7.0,8134.0,5.225166,Preparatory School
2022-11-08,236.996,11.0,8984.0,5.721521,Preparatory School
2022-11-09,313.068,16.0,10814.0,7.026025000000001,Preparatory School
2022-11-10,332.105,10.0,11009.0,7.508988,Preparatory School
2022-11-11,157.255,8.0,6288.0,4.130423,Preparatory School
2022-11-12,446.5,13.0,15600.0,9.887566,Preparatory School
2022-11-13,302.723,14.0,11468.0,7.117469,Preparatory School
2022-11-14,297.137,9.0,10398.0,6.635987,Preparatory School
2022-11-15,259.463,15.0,9187.0,6.08133,Preparatory School
2022-11-16,261.166,18.0,9263.0,6.295281,Preparatory School
2022-11-17,205.244,9.0,8032.0,5.191795,Preparatory School
2022-11-18,312.23900000000003,17.0,10550.0,6.889924,Preparatory School
2022-11-19,269.258,15.0,8885.0,5.797425,Preparatory School
2022-11-20,261.536,7.0,10325.0,6.2570356,Preparatory School
2022-11-21,319.713,24.0,10290.0,6.987501,Preparatory School
2022-11-22,223.436,10.0,7663.0,5.15133,Preparatory School
2022-11-23,237.349,14.0,7188.0,4.577833,Preparatory School
2022-11-24,226.44400000000002,11.0,8078.0,5.322717,Preparatory School
2022-11-25,164.817,5.0,5730.0,3.783204,Preparatory School
2022-11-26,26.242,,1363.0,0.95953,Preparatory School
2022-11-27,270.738,13.0,8667.0,5.914225,Preparatory School
2022-11-28,154.326,14.0,5215.0,3.3232721,Preparatory School
2022-11-29,276.133,13.0,10181.0,6.513329,Preparatory School
2022-11-30,215.986,7.0,8166.0,5.409502,Preparatory School
2022-12-01,262.198,12.0,9825.0,5.973968,Preparatory School
2022-12-02,323.724,13.0,11375.0,7.456562,Preparatory School
2022-12-03,148.813,15.0,4632.0,3.127508,Preparatory School
2022-12-04,81.553,3.0,3363.0,2.2619700000000003,Preparatory School
2022-12-05,216.543,11.0,6979.0,4.80292,Preparatory School
2022-12-06,135.677,5.0,5600.0,3.68694,Preparatory School
2022-12-07,175.933,8.0,6555.0,4.53005,Preparatory School
2022-12-08,259.842,11.0,9259.0,6.39276,Preparatory School
2022-12-09,190.75,15.0,7722.0,5.115372,Preparatory School
2022-12-10,94.928,8.0,3975.0,2.70867,Preparatory School
2022-12-11,68.078,7.0,2756.0,1.79195,Preparatory School
2022-12-12,385.003,9.0,14854.0,9.8613,Preparatory School
2022-12-13,147.23,8.0,6199.0,4.077993,Preparatory School
2022-12-14,191.206,16.0,6156.0,4.01955,Preparatory School
2022-12-15,189.798,10.0,6551.0,4.42467,Preparatory School
2022-12-16,164.752,7.0,5693.0,3.9683100000000002,Preparatory School
2022-12-17,349.293,4.0,14020.0,8.718724,Preparatory School
2022-12-18,110.948,3.0,4154.0,2.8129750000000002,Preparatory School
2022-12-19,124.533,12.0,3844.0,2.64434,Preparatory School
2022-12-20,174.106,9.0,5468.0,3.951469,Preparatory School
2022-12-21,318.332,23.0,10775.0,7.301224,Preparatory School
2022-12-22,175.867,9.0,6088.0,4.1672776,Preparatory School
2022-12-23,150.548,7.0,5625.0,3.951859,Preparatory School
2022-12-24,161.41,5.0,5576.0,3.9,Preparatory School
2022-12-25,225.434,15.0,6318.0,4.552931,Preparatory School
2022-12-26,98.071,4.0,3022.0,2.223297,Preparatory School
2022-12-27,422.477,18.0,11876.0,8.512559,Preparatory School
2022-12-28,216.091,12.0,7408.0,5.0856778,Preparatory School
2022-12-29,234.563,6.0,8792.0,6.094937,Preparatory School
2022-12-30,264.045,13.0,8656.0,6.092988,Preparatory School
2022-12-31,117.131,3.0,4714.0,3.3297,Preparatory School
2023-01-01,201.125,2.0,7718.0,5.454708,Preparatory School
2023-01-02,177.275,6.0,5765.0,4.133421,Preparatory School
2023-01-03,254.147,14.0,7812.0,5.536284,Preparatory School
2023-01-04,167.76,7.0,6171.0,4.30176,Preparatory School
2023-01-05,117.484,6.0,4565.0,3.1726,Preparatory School
2023-01-06,284.879,15.0,8975.0,6.254947,Preparatory School
2023-01-07,289.634,17.0,9359.0,6.44594,Preparatory School
2023-01-08,198.363,11.0,6414.0,4.53326,Preparatory School
2023-01-09,212.089,14.0,6620.0,4.578423,Preparatory School
2023-01-10,270.985,16.0,9127.0,6.1835099,Preparatory School
2023-02-20,177.128,9.0,6438.0,4.444828,Freshman First Term
